Pulau DKI Jakarta & Kep Seribu, latitude, longitude
Kabupaten Kepulauan Seribu, -5.7985266,106.5071982
Kota Jakarta Selatan, -6.332973,106.807915
Kota Jakarta Timur, -6.211544,106.845172
Kota Jakarta Pusat, -6.211544,106.845172
Kota Jakarta Barat, -6.211544,106.845172
Kota Jakarta Utara, -6.211544,106.845172
