Pulau Banten, latitude, longitude

Kota Tangerang, -6.1783056,106.6318889
Kabupaten Lebak, -6.5643956,106.2522143
Kabupaten Tangerang, -6.1783056,106.6318889
Kabupaten Serang, -6.12009,106.150299
Kota Tangerang, -6.1783056,106.6318889
Kota Cilegon, -6.0169825,106.040506
Kota Serang, -6.12009,106.150299
Kabupaten Pandeglang, -6.314835,106.103897
